free_text,label_id
Em được làm fan cứng luôn rồi nè ❤️ reaction quá hay quá cute coi mấy giờ này quá hợp lí =]]],0
Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L :))),2
Đậu Văn Cường giờ giống thằng sida hơn à,0
CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN. NHÀ NƯỚC VN BAN THƯỞNG.,2
Từ lý thuyết đến thực hành là cả 1 câu chuyện dài =)),0
Coronavirus is manmade,0
Đố chúng m nhận ra ai,0
Lúp lúp như chó .,1
🥰🥰🥰,0
"Thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt!:D",2
"Được anh ưi, lâu rồi không nghe phúc du rap 🤣",0
Cắt cho trẻ trâu bớt thui mà 😂😂😂,0
Nghe rất vô lí nhưng cực kì thuyết phục,0
"chán ghê hong có pé 2 mới máu được, hâhha",0
Sao t gửi đc bây,0
thế đấy. làm j bọn nó. bọn nó có quyền nên làm j chả được :v,0
Loại này cho dựa cột thôi chứ độ thế nào,2
Thuong wa di,0
Dạy bơi cho cá. Bơi thì đương nhiên nó bơi được vì nó là cá. Làm sao cho nó sống được mới là điều người dân đang quan tâm.,1
Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,2
Bamtp chạy ngay ddi:)),0
Cứ đăng cái ảnh 2 bố con là y như rằng bị đổi,0
"Dàn Táo năm nay làm chương trình TÁO QUÂN VI HÀNH nhé mn, phát sóng 9h tối 23 Tết trên VTV3 :))",0
Thật chán với chế độ quản lý dân sinh,2
Đời vô thường lắm..sống phải tu tâm tích đức cô oi..khẩu nghiệp quá cô ơi,0
"có ai biết làm cách nào để tìm lại được, đồng đội, đồng chí, hay bạn hữu cùng đơn vị của người trong bức ảnh không.",0
Sống chậm lại các mày ?,0
Chương trình quảng cáo xin đc bắt đầu,0
Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,2
Nhậu cái đm chúng mày lũ chó hại dân hại nước,2
Thế Vinh Yasbaga tối cao,0
mài có óc để suy nghĩ ko add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,2
chuẩn,0
Chỉ 3 vàng ngọc như con heo nọc nhà e,2
phải thầy k ta,0
Cảnh sát chính tả comingg nè :)),0
Xuân đương tới nghĩa là xuân đương qua,0
Nhìn chúng nó cmt mà đắng bạn à =))))))),0
Ý thức còn ít hơn cả số tiền trong túi t,1
Em yêu anh từ thuở tóc dài,0
theo chân mấy anh hàn quốc rồi :,0
"Lương tháng 7,8 củ thui ak con trai, nhưng bố vẫn ăn tạm cua hoàng đế để sống wa ngày thôi con trai ak",0
Mệt quá thầy ạ 😞,0
Gia Lộc Tran Quang còn j vui hơn cà khịa :)))))),0
chị Hôm nay đẹp quá,0
Xem r nè,0
Việt Tiến nghèo là rõ 🤦,0
xxx video 🔞,1
thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),2
Anh ba láo nháo là Tú xiên giờ,2
Người ta bị lường gạt 1tỷ mấy còn êm ru mà đằng này hơn trăm triệu thôi mà la um xùm hà,0
Tú thích hoa hồng và mùa đông được Quang đâm phía sau mông,0
"mẹ, sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân, ko lại phạt vì mua phải bình đểu :)))",2
Cuối cùng anh đã trở lại. Em tưởng anh biến mất luôn cho em mừng 🙂 thiệt là tình( nội dung mang tính giải trí. Ko có ý anti hay ghét ai),0
Chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp nay cung k bao gio co .,2
Vừa tăng lương phát biết ngay,0
Ai là cảm tình diên like,0
Xin tộc trưởng hãy cho Hiếu lợn thần ra trận! Đảm bảo sẽ có chiến thắng,0
Đấu khẩu - Chim lợn 👍,1
Cai miệng nói không sợ bị hậu quả,1
4 năm rồi à,0
Đầu 2 thứ tóc rồi mà còn bị trẻ trâu Levi lừa.🤣,0
Nguoi mien trung nhu e chi ngoi xem cac bac chui nhau thoi :)),0
Khắc Thành Nguyễn phục cái máu lồn,2
Quan va. Dan nhu nhau phai ton trong phap luat. Khong thuen vi mot ai?,0
Chúc abe 20-10 vui vẻ,0
ko vào thì lấy đâu ra vốn vay FDI cho các anh đút túi ?,0
Việc nhẹ lương cao mình xin nhường cho những người thất nghiệp:)),0
B52 If J97,0
Chào người anh em,0
Diệp Gia Nghi nghiệp nó quật m chết bh,0
"Duy Khương bên nó ai bị hoặc nghi bị thì tự cách ly tự điểu trị nhé, nó còn không cho xét nghiệm cơ, chỉ khi nào bạn chết thì nó mới khám nghiệm để kết luận có do virus hay không, ở ngoài đường mà đeo khẩu trang bọn Anh nó còn đấm vào mặt cho chứ ở đó mà điều trị",0
9x5=55 chứ ôg a già😆,0
Trương Duy ko mvp đội mình thì là mvp của đội bạn :))),0
Xin video với bro 😄,0
Bị gì bị lắm thế,0
Du học sinh Úc cơ ấy =)),0
Ôi vãi a quang :v,0
Chờ đợi 17 nồi bánh chưng mới đc fan cứng nên cmt cho kh mất chứ ko biết chơi GA,0
Khá khó🙂,0
Giúp e làm đẹp với . E ko có điều kiện. Ko có khả năg nhưg thấy có người đẹp e rất thích,0
Thu Boo xuất sắc ...nhưng em lại làm mấy bạn kia buồn thêm 🤣🤣🤣,0
"Hoan nghênh ông Trần Dần có tư tưởng tiến bộ, không chống cộng sản Việt Nam nữa. Chỉ có quên đi quá khứ để yêu thương . Ai cũng về già lo tu thân sám hối là điều lựa chọn tốt nhất. Chúc ông Trần Dần sống lâu 130 tuổi và luôn khỏe mạnh đẹp lão.",0
Mấy thằng già làm bộ trưởng này nọ mà đầu óc thua cả 1 bác nông dân,2
Võ Thành Nhân huyền thoại :((,0
Sương mù là tại thiên tai !,0
Mình không quan tâm cô đơn cho lắm,0
Thế e thích làm phù thuỷ r bạn nam phải làm s đây a nhỉ😆,0
Uầy tôi là cưng phán các ông ạ được vl a ưi =))),0
Maruko Linh,0
ảnh này ở video Superheroo nghe buồn não ruột -__-,0
anh tik nói quá đúng luôn,0
BaVi :)),0
Ở đây ai là chủ ???,0
Minh mẫn vcl,1
Chú Bòn em chặt chứ ko ăn nha =))))))),0
Cực kì thuyế...hác xì....á chết mẹ..,0
Lee Quang tôi toàn nghe nhạc của bùi anh tuấn! Hà anh tuấn! Nghe mấy bài này ko thấm nổi,0
Nguyễn Trọng Thái người ta nói bạn đợi nhưng bạn có biết bạn đang đợi cái lone gì không. Hay là đợi thiệp hồng,0
"Có anh Độ, Tết lúc nào chả vui",0
Nghe nói trước đây 1 số thành phần người hà nội kì thị dân vĩnh phúc đúng không nhỉ. Bh sao thì mấy ngừoi đó bị lây hết chưa ấy nhể,0
Huy Hoàng =)),0
Thảo NG thua tại dốt av qa :v,0
😞,0
Dần dần thấy jack mất hay,0
Dì 3 ê dì 3_ là trai hay gái ạ,0
Vợ Cuốc sư là Bùi Kim Thành còn vợ nhỏ là lisa phạm,0
Trước khi cắm lên đầu em 4 cái sừng nó cũng bảo y như thế :((((,0
éo nha liu liu,1
#NAME?,0
Cận thận nhà ae,0
Idol,0
Duyên Phạm ghê tr nay văn chương dữ hén,0
xin ạ,0
Hoàng Minh,0
Anh Trung Magic,0
"có một sự tồn tại của đàn bò mang tên "" cực kỳ thuyết phục "", có sở thích là nhai đi nhai lại, mục đích của chúng trên hành tinh này vẫn chưa có lời giải đáp, theo như các nhà động vật học cho biết loài bò này có lối sống hoang dâm trụy lạc, có thể động dục bất cứ lúc nào, con số của loài này đang được gia tăng đáng kể.",2
Ck4mk4m là gì á mn,0
Cho toyy xin in4 FB hoặc sđt zalo hay ig được hong :33,0
Chị chữi là chị cứu nhân độ thế🤣🤣,0
Nghi vấn thầy chà trộn TTBL tu,0
Lại Hợp Sâm clm đến v thì /ff,1
Dao chặt không đứt kkkkk🤣🤣🤣🤣🤣🤣,0
Hồng Thy cái giọng điệu nói cảm thấy hao hao giống ..!,0
Nhanh thực sự,0
Đồng Nhung máy bay phalcon 10 tỷ belike :,0
So Pre Tài Trợ Độ Tây Ngày Hôm Ngày =)),0
Nghe kể chuyện tí rồi làm tiếp a Thanh Le :))),0
Hoàng Anh từ tư 😁,0
Dep trai moi co nhieu dua yeu,0
Bt các bạn phan cuồng chửi vậy mik đã ko nêu ra ý kiến cá nhân,0
thêm một người bị cộng sản nhồi sọ không biết sao có thể nạo ra được hết chất bã trong đầu,2
Nghe giọng nứkg quá Abe :)),1
ông làm bố tôi hơi lâu rồi đấy' Tùng sói said,0
Vì refund top 1 nên tối nay mình xin phép ea..blabla,0
Anh Trung Giả Kim 😂,0
Có khả năng tối nay anh bị ngủ ngoài đường :)) tu bi con tờ niu,0
Bùn nhở,0
Pháo thủ toang cmnl @@,0
Bóng khùng bóng điên,1
Làm thêm chục củ mở hòm csgo anh êi :V,0
Lê Huyền người ư ?sinh vật hạ đẳng chứ ngươi ai lam thế .,2
Cao Lãnh với chúng tôi làyy,0
Làm nhẹ 3-0 cho nó ok,0
🙆🏻‍♀️,0
ặc :),0
Ai xin inb tôi đi,0
"Goodnow Tran lo ở nhà đi ra ngoài tiết diên mày bị mắc bệnh giờ, tui cam đoan là như dị",0
"Nhìn chị Minh Hiếu có duyên hết sức, nói chuyện rất chân thật, mặc dù mỗi lần live chửi rất táo tợn nhưng nghe và nhìn chị ấy rất thánh thiện và chất. Chúc chị luôn vui khoẻ và hp. Mong có dịp sẽ được gặp chị",0
Dễ thương và duyên quá Cô ơi. Love Cô.,0
Lê Thị Bích Hồng tk trẩu,2
nhớ nuôi kiểu tóc này mới đủ combo nhé ae,0
Chang Chang 🥥🥥🥥🥥,0
Nguyễn Trang nói thật mị 🤣,0
1 ng thì giết 1 mạng . 1 ng thì feed tụt lol,0
Có pải nổ lực là có được đâu.pải có 1 chút gọi là may mắn nữa,0
Panda Thái đã xem =))),0
Luôn ủng hộ K-ATM,0
Còn bạn này nữa thầy ơi,0
Giọng cuốn vc,0
Nguyễn Đào Nguyên,0
thế thua gì bác.. k công khai mà cả VN điều biết tên e nó bác nghĩ ngta đón được sao????,0
Ai ki nghe nói cũng đi ý về,0
"không có thì ""sản xuất"" ra -_-",0
Hợp lí anh ơi,0
Đc anh ui,0
Con người sao lại như vậy?,0
Bảo dan tri thap thì tự ái :),1
Tại sao phải trả lời thầy,0
Cái trend Nghe có vẻ mãi chúng nó vẫn chưa chán nhỉ,0
Đang lúc dầu sôi lửa bỏng bay kiếm clmn hay gì á rồi đem bênh về đây cho nhà nước nuôi tốn cơm tốn gạo,1
Con nho nay hom truoc chui Ong ba Cha me ca nguoi Vn la minh biet no bi Ma nhap no truoc khi bi chet.. ..gao thet kinh hon de truoc khi xuong dia nguc...🙏🙏🙏,0
Anh Minh chậm cái con cặc,2
reaction thầy ơi,0
Đoạn đánh răng chiếm quá nhiều thgian :)),0
"Đù dại ghê, bọn đấy ngày nào nó cũng lên Phường xiên cho nó 1 cái, đuợc tiếng luôn, vào khám mấy anh chị cũng thương, xiên hết mọi thằng trên Phường luôn cho nó Sum",1
Chị 3 cho e 200 triệu đi làm chymmm đi huhuh,0
Tóm lại là chửi nhau phải có văn hoá 😂😂😂👏🏻👏🏻 e thích page rồi đấy 😂😂,0
A tiệp:,0
Khi đi nhớ đem theo Susan nha thầy :)),0
cái tay cái tay,0
Vẫn có 1 người tặng quà va len thai cho mình mn ạ.,0
Giật cho mất mẹ cả cái mụn ruồi (:,0
Tóm lại là con gái hay trai... 😶😶😶...bực mình vl nhìn hoài ko ra 😑😑,1
Đào Hà Văn Rinaky Cn anh chị ơi cẩn thận nhé ạ,0
Điều kiện hạn chế viruss phát tán có thể là phòng trên 26 độ là cơ bản. Còn mọi thứ điều cis thể. Hãy đọc kĩ những bài nói về viruss corona the trang chính thống nha,0
Bắt được đừng chữa nhốt vào cho chết luôn...loại này đừng để đẻ trứng!!!,2
Optimusthree với 99% sức mạnh,0
:3,0
Hahahaha,0
"ô thế mọi người k bit ak, Trần Dần mắc bệnh từ khi chưa có dịch ak...ông này mắc loại bệnh còn nguy hiểm hơn Covid 19...",0
Đồng bọn nhỏ đó khi zo tù :))),0
Nguyễn Thị Luận Hà Nam cũng vậy :),0
gáy to thế mi anh,0
Bảo Tín đi du lịch gặp con gì ngứa ngứa ở biển e đã sợ lắm r sao xuất hiện con này nữa,0
"Học cách kiểm soát bộ não của mình đi, thích thì tiến tới, ghét thì bỏ qua",0
Phạm Linh ko co cl,1
Qtrong gì trước sau gì chẳng về 1 nhà,0
Tức diêng là idol vẫn còn ngon cơm. Tức diêng là mắt thấy tai nghe chứ ko phải nằm chiêm bao,0
Con Thương cô lắm,0
Cực kỳ thu....,0
Thánh chửi lãnh án,0
xe chở súc vật mong người dân hãy tránh xa (đề phòng súc vật phóng uế lung tung làm mất vệ sinh).,2
À thế bạn ý hát bài j jui có ai giới thiệu cho mình đc ko. Lâu jui mình chẳng nghe bài hát mới nào cả,0
"Chúc anh em năm mới vui vẻ, an khang thịnh vượng.",0
Có táo quân thỳ mới là tết chứ,0
"Samsung vẫn đi làm bth nhé, mỗi ngày đi làm là 1 ngày vui 😜😜😜😜",0
Chú trung đầu L chứ chú tí đầu lân clg 🤣,2
"Chi đep qua chi,e thích qua",0
Oh shjt,1
Cáo từ,0
Nhật Long toang. Kiểu ni còn lâu lắm :((,0
Hiếu Bùi sủa dơ,2
Ok trung bảnh,0
:)),0
ad nói phét à bê tông ăn thế nào đc,0
Con thuong co ba,0
Á nhà tiên tri ủng hộ nghị quyết 36 rồi nhé 🤣🤣🤣,0
Nguyễn Thị Phương bạn ơi cho mình xin ảnh để sống ảo đc k ạ?,0
Chào nhà báo vũ hoàng Lân. Chào danh hài vũ trụ trần tiger:-),0
Ok đẹp trai :v,0
Lan Hoa Tùng có dùng acc clone đi cmt đâu... dạo ??,0
ăn bận như cac họ,1
Cực kì thuyết p.....,0
Nhảy thế kia nhỡ may tiếp đất ko chuẩn lại ngã thì sao. thôi tôi tớ nhiều cứ bảo 1 thằng ra cõng cho chắc. :)),0
reaction thầy ơi,0
Chửi hay lắm ad,0
Chào nhéee,0
Thu Trang,0
Đau đầu vl :)),0
Mày nói như lồn. Bọn đa cấp nó đóng thuế còn gấp chục lần doanh nghiệp. Tao cho thằng thớt ăn lồn không oan chứ thằng bên dưới?,2
Thế cơ á,0
"Day khong phai la con nguoi nua ,,, tinh tinh tinh ,,",1
tks thầy nha ♥,0
Quá ngu lồn đi =))),1
Fan cô Minh hiếu đâu taaaa ❤️,0
Nguyen Ngoc Tam gia phú phải không 😂,0
Tình đồng chí thật kiên trung!Sách lịch sử dạy giặc tra tấn dã man thế nào cũng không mở mồm có #,2
bác dần chớm có tình yêu nước r đấy,0
Toang quá thầy ơiiii :))),0
"Làm cái đéo gì thì làm đừng để ng ta nhắc đến VN là gắn với từ ""ăn cắp"" :))",1
chị ba nói chuyện dễ thương quá,0
.,0
Cả nước đồng lòng riêng em thi ko,0
Còn ngưỡng mộ có ba nhé hihihi,0
Báo công an đi rồi quản lý thị trường hốt em luôn thể.,0
Im mẹ đi thằng mặt lon,2
thằng ad này não bị delay 3 năm à :)),2
🤣🤣🤣,0
How to nói đểu vợ :)),0
Mới hả mn 😅,0
"Ad hãy tìm số báo nào của báo quân đội khi viết "" ba-rách ô-ba-ma"" và ""đô-na trăm "". Vãi báo",1
Bọn chó sủa bậy,1
Thì ra thầy đã có tính tấu hài từ lúc làm tuyển thủ chuyên nghiệp,0
Sếp nhà mình cũng thế 🤩,0
bon comcom đơn vị tác chiến điện tử vs nhật ký yêu nước dm chúng mày vào mà đọc. tưởng ai cũng như chúng mày hết đấy,2
Các em nầy khi vào báo “công ngủ” với ác hồ thì phải chỉa vào mặt ác hồ như thế nầy nè :,2
Giận méo mặt =)),0
MV khá chất lượng,0
Đi làm cũng khổ :((,0
Thầy duo với levi để Tú bơ vơ,0
Lại 1 người nữa ra đi,0
Bác ơi chói quá,0
Tự hào quá VN ơi 😂,0
Khổ thân anh độ giải này mà nát mấy ông anti lại um lên cho mà xem ... Rồi team lại đủ thứ buồn. Còn ngày mai nữa mong các anh cố gắng,0
Ai yêu ib nhé,0
Chu Hoài tạo hình suốt mà giờ mới trend,0
em mê con nhỏ ngoài Trần Duy Hưng nhưng phải cố gắng nhiều hơn !!!,0
Tại mấy a tàu mà ra,0
Sợ thật ấy :))),0
Xin phép cả nhà nhaaaa!!!,0
"so với "" nghệ thuật sắp đặt "" trị giá 8.100 tỷ vnd của ông Hoàng Trung Hải thì tác phẩm ""trái chuối"".... rất là chuối !",0
Nước hoa đểu lấy đâu ra xịn :))) Hot girl méo gì nhìn xấu vkl thề :))),2
"Sam luôn luôn đi theo cặp nhé, 2 con chồng lên nhau ý",0
Trường Giang no no . Đg chỉ trích vì tính ích kỷ . K nghĩ cho ngkhac . Chứ bả sống thì tốt th chứ có j đâu,0
",..",0
Chúc mừng năm mới,0
Quân tâm ae có link xem chưa bao phê luôn ae ơi,0
Thầy làm gì cũng được đừng ra MV hát là được nha thầy. Nói chứ dm mãi yêu thầy,0
cứ như là 1 kịch bản hay cho việc hợp lý hóa xây sân bay long thành!,0
Cổ động viên quảng ninh nhưng rất thích chất cổ động viên hải phòng💐,0
Đưa ô già đi trốn hợp lý hơn =)),0
Suni Hạ Linh sau khi thấy vid này ☹️,0
Bóng dơ,2
Mai Ánh Thi có nha em ơi ibx nha,0
Có tiền đi đường quyền =)),0
Trần Bình Trọng Vừa xog = 1k like :) các bác sống nhanh vl :),1
Tôi nghĩ tiền không làm gì được các ông ạ =)),0
Nhớ đến đấng nha 3 gà 😎😎,0
Mê cô quá,0
"Vô tình thấy, giống anh quá 🤨",0
Đặng Thái Hoàng Châu dư âm từ năm này sang năm khác,0
Tú ko cho anh 3 blue và cái kết :)),0
Fan cứng nè,0
"em đây anh ơi , bây giờ em mới nhận ra bên em còn có 1 người anh tuyệt vời như anh anh Độ ạ 🥺",0
I love you to ca mo,0
Đumoe nói leo,1
"Pha đánh răng ám ảnh nhất lịch sử điện ảnh, có thể lưu truyền mọi thời đại, là biểu tượng để các diễn viên học tập theo🤣🤣🤣🤣",0
Đu.má tu.biên tu.diēn luon...,1
🙃,0
"hoc cc gi` nua~, ve san voi ma` kiem an =]]z",1
Thanh Phương c làm 1 bài review đi c,0
Đình Quang thô nhưnh thật quá bác ạ =))),0
Abe có thể chiếm đoạt được trái tim của Tiểu Tiểu nhưng riêng blue của Tiểu Tiểu thì Abe tuổi lol chiếm đoạt được :vv,0
Đúng là chó làm người phải chịu ... haizzz,1
Bùi Minh Huệ crush ưii . Anh thích em đó 😶,0
Cô Minh hiếu nói chuyện thật thà dễ thương quá ✌️✌️✌️✌️✌️,0
Ai biết tên kiểu này là gì không ạ,0
Uống nước là đi tù,1
đéo hiểu kiểu gì,1
e chúc panda của abe iu dấu 20/10 vui vẻ nhé và đừng quên xoá kênh,0
Đờ mờ cuộc sống,1
Phải xử lý hình sự mới sáng mắt ra đc !,0
Dạo này nước mỹ ko dc an toàn . Sao không thấy cây súng 🔫🔫🔫 của nhà tien tri vậy,0
em về tộc anh r nhưng chưa có fc🤣,0
khó chịu vãi😂,0
Ri thì như thor luôn,0
Góp vui một tí :3,0
Mọi người xin dành 1 chút thời gian nguyên góp mỗi người 1 like vào ảnh đại diện của tôi được hong :)),0
triệu hồi phúc nghẹo..trọng lú,2
"nói z thôi cho dân chúng bớt xoắn lên nhưng thực chắc cũng đâu vào đấy. nó chơi ngầm thì đố ai biết. cái nhà nước này nó nát bét hết rồi. các bác đừng có mơ làm nhà nước nữa, từ cấp 3 đã xác định là làm nghề gì mà k liên qua nhà nước rồi, vì tao biết g",2
Thời gian ủ bệnh lên tới 14 ngày khả năng cao vẫn phải cách li theo dõi thêm,0
Mặt độ trông buồn cười vl kiểu con ơi cho bố cầm ms kkk,0
Pha xử lí hay nhất từng xem,0
Thêm quả carô ở trong nữa nhìn chán 😑😓,0
Bà này đỉnh thật. Nữ tướng đáng khâm phục. Giá như mà Việt Nam! Có sự lãnh đạo của bà thay cho NTKN thì hay cho đất nước.,0
dư luận viên vào ẳng nào :v,2
from,0
Nghe kì kì sao á. Con trai với mẹ mà liệu mấy cái lời nghe 😋😋😡,0
Lisa cai lậy 😍,0
Tq hắc xì cả thế giới phải rung chuyển,0
